epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,217.815,0.67132,3.36323,0.87746,0.41396,0.40796,0.32102,0.18053,0.16611,1.31601,0.18136,0.00166407,0.00166407,0.0683827
2,421.464,0.41152,0.7944,0.52182,0.85571,0.72285,0.80964,0.5399,0.13011,0.63475,0.16425,0.00326478,0.00326478,0.0366501
3,623.728,0.31591,0.51007,0.41004,0.89731,0.83831,0.90268,0.64759,0.11082,0.44799,0.14327,0.0047995,0.0047995,0.0048515
4,833.785,0.26433,0.44113,0.35551,0.92884,0.88557,0.92927,0.67984,0.10156,0.4357,0.13016,0.004703,0.004703,0.004703
5,1039.57,0.25431,0.40234,0.33813,0.94079,0.89801,0.94225,0.72595,0.09205,0.29402,0.12003,0.004604,0.004604,0.004604
6,1265.65,0.23168,0.37154,0.30923,0.94646,0.92786,0.95375,0.73779,0.0914,0.35553,0.12068,0.004505,0.004505,0.004505
7,1481.33,0.2228,0.34753,0.28692,0.95562,0.93035,0.9593,0.73155,0.09265,0.34519,0.11944,0.004406,0.004406,0.004406
8,1693.67,0.21813,0.34748,0.27725,0.91796,0.91542,0.94712,0.7387,0.08909,0.28981,0.11326,0.004307,0.004307,0.004307
9,1896.47,0.20244,0.31536,0.25889,0.951,0.91739,0.95086,0.72825,0.09072,0.28723,0.12016,0.004208,0.004208,0.004208
10,2100.58,0.20908,0.32991,0.27699,0.94384,0.9198,0.95779,0.74756,0.08683,0.31277,0.11272,0.004109,0.004109,0.004109
11,2312.44,0.19128,0.30088,0.24072,0.961,0.91941,0.96305,0.73484,0.09425,0.26444,0.11807,0.00401,0.00401,0.00401
12,2513.95,0.18598,0.28775,0.23904,0.95487,0.92537,0.95868,0.74914,0.08741,0.34668,0.11133,0.003911,0.003911,0.003911
13,2720.46,0.18636,0.28952,0.23807,0.96224,0.9403,0.9675,0.75264,0.08708,0.3196,0.11229,0.003812,0.003812,0.003812
14,2931.46,0.17864,0.27628,0.22263,0.96897,0.93219,0.9666,0.7613,0.08862,0.25321,0.11415,0.003713,0.003713,0.003713
15,3147.17,0.17362,0.26251,0.21417,0.95699,0.94086,0.96872,0.76474,0.08491,0.26626,0.10514,0.003614,0.003614,0.003614
16,3366.34,0.16526,0.26052,0.20601,0.95101,0.95025,0.96646,0.75707,0.0849,0.27569,0.10896,0.003515,0.003515,0.003515
17,3572.95,0.16286,0.26517,0.20303,0.95871,0.92786,0.96825,0.774,0.08227,0.3123,0.10349,0.003416,0.003416,0.003416
18,3795.5,0.1555,0.24804,0.19811,0.94972,0.93965,0.96706,0.77115,0.08309,0.25255,0.10276,0.003317,0.003317,0.003317
19,3998.63,0.15346,0.23911,0.18748,0.9545,0.93935,0.96262,0.7688,0.08127,0.31979,0.09816,0.003218,0.003218,0.003218
20,4216.11,0.14994,0.24413,0.19079,0.9515,0.95522,0.96789,0.77877,0.08192,0.29436,0.10285,0.003119,0.003119,0.003119
21,4432.52,0.14646,0.23773,0.17934,0.95544,0.93035,0.96655,0.76569,0.08198,0.28667,0.10572,0.00302,0.00302,0.00302
22,4639.45,0.14756,0.24052,0.18487,0.96825,0.93532,0.968,0.78043,0.08121,0.26391,0.10161,0.002921,0.002921,0.002921
23,4840.04,0.14287,0.22921,0.18059,0.95927,0.93727,0.96863,0.76999,0.08328,0.25703,0.1087,0.002822,0.002822,0.002822
24,5044.96,0.13144,0.22024,0.16368,0.95425,0.93404,0.97175,0.77461,0.08232,0.2497,0.10422,0.002723,0.002723,0.002723
25,5257.27,0.13381,0.21733,0.16973,0.93451,0.95836,0.97221,0.77495,0.08314,0.26971,0.10226,0.002624,0.002624,0.002624
26,5458.98,0.12813,0.21501,0.15573,0.95193,0.93588,0.97036,0.7757,0.08131,0.27277,0.1003,0.002525,0.002525,0.002525
27,5665.08,0.12229,0.20602,0.14874,0.95745,0.95164,0.971,0.76992,0.08566,0.30948,0.11132,0.002426,0.002426,0.002426
28,5873.71,0.12197,0.20591,0.1474,0.96506,0.93781,0.9655,0.77097,0.08317,0.27041,0.10622,0.002327,0.002327,0.002327
29,6078.34,0.1162,0.20413,0.14277,0.96659,0.93572,0.969,0.77901,0.08117,0.26651,0.10152,0.002228,0.002228,0.002228
30,6282.44,0.11904,0.20413,0.14493,0.96677,0.94091,0.96871,0.77563,0.08139,0.26001,0.10204,0.002129,0.002129,0.002129
31,6489.46,0.11392,0.19559,0.1443,0.95304,0.95929,0.96956,0.77593,0.0817,0.26919,0.10123,0.00203,0.00203,0.00203
32,6699.44,0.10853,0.19533,0.13253,0.962,0.9447,0.96559,0.77465,0.08188,0.27076,0.10336,0.001931,0.001931,0.001931
33,6900.77,0.10267,0.18517,0.12758,0.95719,0.94776,0.9671,0.77241,0.08105,0.28091,0.102,0.001832,0.001832,0.001832
34,7106.07,0.09994,0.18079,0.12413,0.94906,0.96269,0.97318,0.77892,0.08232,0.2774,0.10414,0.001733,0.001733,0.001733
35,7313.75,0.10063,0.18092,0.12009,0.9527,0.95274,0.97146,0.77955,0.08218,0.27511,0.10449,0.001634,0.001634,0.001634
36,7515.39,0.09894,0.18249,0.12234,0.96602,0.94279,0.96933,0.77129,0.0819,0.28312,0.10305,0.001535,0.001535,0.001535
37,7721.63,0.09407,0.17019,0.11763,0.96071,0.94776,0.9707,0.77447,0.08225,0.28407,0.1038,0.001436,0.001436,0.001436
