epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.06,1.67047,3.29409,2.3724,0.85116,0.7255,0.81302,0.46271,1.21106,1.19681,1.85855,0.00166407,0.00166407,0.0683827
2,249.392,1.32442,1.36205,1.99877,0.83979,0.67807,0.79641,0.48697,1.21438,1.11636,1.8869,0.00326478,0.00326478,0.0366501
3,369.864,1.37546,1.35298,2.05778,0.82662,0.62438,0.73014,0.42499,1.32447,1.35514,1.99914,0.0047995,0.0047995,0.0048515
4,490.127,1.3712,1.41177,2.03213,0.86803,0.68723,0.78748,0.47577,1.18663,1.46865,1.85892,0.004703,0.004703,0.004703
5,610.933,1.32879,1.2565,2.00184,0.85631,0.71156,0.79095,0.45333,1.2505,1.26131,1.97848,0.004604,0.004604,0.004604
6,730.76,1.22955,1.19545,1.91452,0.872,0.71174,0.81326,0.50571,1.12264,1.16625,1.80724,0.004505,0.004505,0.004505
7,859.642,1.18654,1.07467,1.87074,0.91812,0.78856,0.83676,0.49614,1.17403,1.14071,1.86428,0.004406,0.004406,0.004406
8,985.189,1.1362,0.99185,1.81108,0.92843,0.81343,0.88038,0.56516,1.01949,1.08134,1.6742,0.004307,0.004307,0.004307
9,1110.63,1.05931,0.87995,1.71754,0.88514,0.82429,0.84167,0.51234,1.09583,1.05188,1.73632,0.004208,0.004208,0.004208
10,1235.14,1.07611,0.86743,1.73902,0.91705,0.74249,0.83723,0.51788,1.10119,0.98333,1.73584,0.004109,0.004109,0.004109
11,1359.61,0.99683,0.78597,1.63955,0.92023,0.83831,0.89962,0.57084,1.03615,0.86254,1.64997,0.00401,0.00401,0.00401
12,1483.83,0.96402,0.7427,1.62143,0.92944,0.84577,0.89519,0.58385,0.96069,0.84598,1.58322,0.003911,0.003911,0.003911
13,1608.38,0.90763,0.69139,1.5634,0.92586,0.8387,0.8946,0.58393,0.99247,0.89536,1.60397,0.003812,0.003812,0.003812
14,1732.36,0.89898,0.67286,1.53452,0.92197,0.85323,0.90734,0.62991,0.91562,0.79808,1.5415,0.003713,0.003713,0.003713
15,1857.24,0.88475,0.64575,1.52557,0.942,0.84838,0.91745,0.61584,0.99745,0.79275,1.62225,0.003614,0.003614,0.003614
16,1981.82,0.83845,0.63935,1.46301,0.92166,0.88557,0.90919,0.60526,0.94328,0.75502,1.58793,0.003515,0.003515,0.003515
17,2103.65,0.80802,0.58622,1.44552,0.94534,0.86039,0.91149,0.62298,0.97697,0.74769,1.61766,0.003416,0.003416,0.003416
18,2221.94,0.77239,0.52688,1.40768,0.93396,0.88308,0.9251,0.64792,0.84793,0.81061,1.48578,0.003317,0.003317,0.003317
19,2343.93,0.74575,0.50828,1.37641,0.92507,0.87811,0.91621,0.65926,0.86632,0.6993,1.51308,0.003218,0.003218,0.003218
20,2460.1,0.72982,0.53351,1.35373,0.93187,0.8846,0.92049,0.64408,0.88081,0.75288,1.50261,0.003119,0.003119,0.003119
21,2582.56,0.69352,0.45951,1.32242,0.93823,0.87313,0.92051,0.64516,0.90819,0.69221,1.56575,0.00302,0.00302,0.00302
22,2703.94,0.69007,0.46497,1.31875,0.91677,0.90416,0.9275,0.64454,0.8398,0.68736,1.48284,0.002921,0.002921,0.002921
23,2824.55,0.66636,0.43999,1.28846,0.93063,0.90103,0.91684,0.65764,0.85855,0.76649,1.552,0.002822,0.002822,0.002822
24,2945.93,0.60919,0.43892,1.21225,0.96137,0.86676,0.93355,0.65137,0.86321,0.72756,1.52003,0.002723,0.002723,0.002723
25,3062.04,0.61542,0.42154,1.23106,0.95732,0.89267,0.93322,0.67452,0.86751,0.6537,1.48458,0.002624,0.002624,0.002624
26,3185.63,0.59643,0.38267,1.19141,0.94428,0.90547,0.93807,0.67588,0.8842,0.64012,1.56131,0.002525,0.002525,0.002525
27,3301.77,0.56809,0.36512,1.15167,0.95186,0.88533,0.91977,0.66242,0.83277,0.76272,1.49804,0.002426,0.002426,0.002426
28,3424.5,0.54482,0.35448,1.13888,0.94804,0.8806,0.91785,0.64834,0.85076,0.78369,1.47545,0.002327,0.002327,0.002327
29,3542.27,0.5156,0.37614,1.09964,0.95561,0.91047,0.92084,0.65917,0.82804,0.69209,1.49236,0.002228,0.002228,0.002228
30,3663.61,0.52326,0.34377,1.12324,0.94556,0.90739,0.9324,0.67708,0.83521,0.67813,1.51064,0.002129,0.002129,0.002129
31,3783.66,0.50504,0.3265,1.10514,0.9275,0.92786,0.92327,0.66965,0.82522,0.69122,1.51426,0.00203,0.00203,0.00203
32,3897.23,0.4818,0.33272,1.07255,0.93507,0.89563,0.9123,0.66856,0.83662,0.74169,1.53413,0.001931,0.001931,0.001931
33,4016.19,0.45471,0.31076,1.03619,0.95205,0.89303,0.91978,0.67392,0.84525,0.75704,1.5404,0.001832,0.001832,0.001832
34,4138.19,0.43145,0.29665,1.01222,0.95385,0.89055,0.92779,0.67543,0.84585,0.72926,1.53358,0.001733,0.001733,0.001733
35,4257.96,0.42176,0.2918,1.00929,0.94269,0.90012,0.93051,0.68427,0.81523,0.67377,1.53892,0.001634,0.001634,0.001634
36,4372.82,0.41177,0.28801,0.99373,0.93672,0.89552,0.92651,0.68706,0.80883,0.71429,1.52326,0.001535,0.001535,0.001535
37,4495.57,0.38796,0.26485,0.97396,0.95072,0.90547,0.93993,0.69042,0.82227,0.66302,1.53662,0.001436,0.001436,0.001436
38,4614.35,0.37207,0.27454,0.94793,0.95395,0.90299,0.92544,0.68457,0.82361,0.64847,1.54768,0.001337,0.001337,0.001337
39,4732.42,0.35729,0.24785,0.93522,0.96213,0.89801,0.93528,0.69035,0.81855,0.65318,1.56441,0.001238,0.001238,0.001238
40,4852.01,0.3439,0.23965,0.92268,0.95978,0.89037,0.91529,0.68076,0.81826,0.71133,1.55966,0.001139,0.001139,0.001139
41,4972.41,0.33788,0.2376,0.91551,0.95712,0.9005,0.92366,0.67927,0.84074,0.7095,1.57818,0.00104,0.00104,0.00104
42,5092.22,0.31251,0.22718,0.89414,0.95743,0.89505,0.92508,0.68851,0.81375,0.72609,1.58139,0.000941,0.000941,0.000941
43,5212.93,0.30108,0.22203,0.88213,0.95134,0.90547,0.92418,0.68484,0.81729,0.69128,1.60691,0.000842,0.000842,0.000842
44,5333.08,0.29975,0.22367,0.88466,0.95585,0.89303,0.923,0.68279,0.81068,0.70783,1.57241,0.000743,0.000743,0.000743
45,5453,0.27404,0.20582,0.85573,0.9446,0.9005,0.93274,0.68548,0.80719,0.67331,1.58688,0.000644,0.000644,0.000644
46,5573.03,0.26457,0.22093,0.84948,0.95031,0.90391,0.93264,0.6898,0.79433,0.66181,1.57144,0.000545,0.000545,0.000545
47,5692.5,0.25167,0.1984,0.84521,0.93904,0.91294,0.92464,0.68705,0.80604,0.64918,1.61902,0.000446,0.000446,0.000446
48,5812.66,0.23606,0.18584,0.82491,0.95759,0.89876,0.92496,0.6819,0.80277,0.6738,1.60962,0.000347,0.000347,0.000347
49,5928.88,0.22815,0.17966,0.82848,0.94805,0.90791,0.92375,0.68178,0.80215,0.66719,1.6173,0.000248,0.000248,0.000248
50,6050.66,0.21888,0.17759,0.81189,0.93644,0.91619,0.9231,0.68515,0.79681,0.67136,1.60871,0.000149,0.000149,0.000149
