epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,179.514,1.77133,4.66435,2.42479,0.77773,0.68408,0.76792,0.4376,1.22584,1.20682,1.84899,0.00166407,0.00166407,0.0683827
2,316.321,1.3178,1.30451,1.95739,0.82668,0.69652,0.75947,0.44837,1.24581,1.31339,1.82548,0.00326478,0.00326478,0.0366501
3,456.467,1.31631,1.2722,1.9794,0.79908,0.66915,0.74879,0.44626,1.22334,1.32543,1.87836,0.0047995,0.0047995,0.0048515
4,587.128,1.27762,1.22395,1.92465,0.81084,0.64179,0.75706,0.45183,1.20964,1.27218,1.85383,0.004703,0.004703,0.004703
5,733.457,1.25024,1.19338,1.87838,0.87214,0.72139,0.80716,0.50582,1.13505,1.31604,1.73309,0.004604,0.004604,0.004604
6,864.389,1.17783,1.05961,1.82923,0.89189,0.76617,0.84387,0.52718,1.11275,0.93628,1.73647,0.004505,0.004505,0.004505
7,996.739,1.12076,1.01257,1.77767,0.89297,0.78863,0.84231,0.48039,1.15477,1.00932,1.83124,0.004406,0.004406,0.004406
8,1120.06,1.10694,0.94639,1.74873,0.91097,0.87065,0.90994,0.60655,0.96527,0.91833,1.59601,0.004307,0.004307,0.004307
9,1251.6,1.02714,0.81306,1.66196,0.9367,0.80982,0.87657,0.57222,1.05035,0.89075,1.68889,0.004208,0.004208,0.004208
10,1375.76,1.02476,0.77231,1.6477,0.91218,0.80348,0.87685,0.56672,1.03375,0.90294,1.6689,0.004109,0.004109,0.004109
11,1513.47,0.94924,0.72336,1.57459,0.9007,0.84328,0.88096,0.57343,1.03303,0.83625,1.64934,0.00401,0.00401,0.00401
12,1630.16,0.92045,0.68735,1.55211,0.94277,0.84826,0.90481,0.61193,0.94743,0.85012,1.5355,0.003911,0.003911,0.003911
