epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.06,1.46869,5.82134,0.03902,0.41692,0.3408,0.27784,0.15047,1.31713,2.15346,0.03706,0.00166407,0.00166407,0.0683827
2,133.909,1.36508,2.01945,0.03609,0.62581,0.52488,0.5837,0.33903,1.23646,1.47037,0.03385,0.00326478,0.00326478,0.0366501
3,181.944,1.34881,1.57829,0.0356,0.62429,0.64179,0.6427,0.35457,1.32755,1.30151,0.03849,0.0047995,0.0047995,0.0048515
4,229.972,1.31473,1.3677,0.03502,0.78598,0.69432,0.77022,0.46482,1.15328,1.11295,0.03204,0.004703,0.004703,0.004703
5,277.933,1.28347,1.22392,0.03334,0.77527,0.65423,0.74142,0.44557,1.1821,1.07995,0.03201,0.004604,0.004604,0.004604
6,325.237,1.23336,1.03504,0.03188,0.88729,0.72637,0.83959,0.51827,1.16608,0.82547,0.03151,0.004505,0.004505,0.004505
7,372.471,1.17688,0.9727,0.02998,0.86013,0.79353,0.86965,0.51511,1.19086,0.78423,0.0328,0.004406,0.004406,0.004406
8,419.579,1.14576,0.88318,0.02921,0.8088,0.81343,0.85978,0.55234,1.10867,0.84962,0.02936,0.004307,0.004307,0.004307
9,466.985,1.07789,0.76595,0.02684,0.88504,0.77861,0.87694,0.56953,1.07034,0.80955,0.02824,0.004208,0.004208,0.004208
10,514.266,1.08852,0.69474,0.0271,0.89412,0.81924,0.90035,0.60016,0.97422,0.70835,0.02621,0.004109,0.004109,0.004109
11,561.286,1.01526,0.61502,0.02483,0.88477,0.81095,0.89436,0.54894,1.12328,0.7724,0.02998,0.00401,0.00401,0.00401
12,608.431,0.99684,0.59536,0.02443,0.89741,0.82587,0.89129,0.59328,0.98349,0.7366,0.02453,0.003911,0.003911,0.003911
13,655.444,0.9804,0.56129,0.02388,0.84893,0.8607,0.90123,0.58416,1.02337,0.72415,0.02763,0.003812,0.003812,0.003812
14,702.73,0.95839,0.51807,0.02322,0.90973,0.83085,0.90348,0.62196,0.95222,0.59933,0.02428,0.003713,0.003713,0.003713
15,749.963,0.9168,0.4926,0.02198,0.9078,0.87811,0.91909,0.62339,0.94384,0.55113,0.02419,0.003614,0.003614,0.003614
16,797.287,0.89663,0.43187,0.0213,0.90342,0.86097,0.91146,0.63972,0.92846,0.65427,0.02404,0.003515,0.003515,0.003515
17,844.414,0.87401,0.41177,0.02108,0.94093,0.87173,0.923,0.64413,0.90328,0.62479,0.02288,0.003416,0.003416,0.003416
18,891.404,0.84347,0.38363,0.02019,0.91491,0.88269,0.91639,0.63215,0.89587,0.66477,0.0232,0.003317,0.003317,0.003317
19,938.522,0.81626,0.38108,0.01881,0.94997,0.86567,0.92486,0.62982,0.89546,0.58015,0.0229,0.003218,0.003218,0.003218
20,985.712,0.80994,0.35563,0.0191,0.95289,0.85537,0.91307,0.64301,0.89235,0.57954,0.0231,0.003119,0.003119,0.003119
21,1033,0.78276,0.34486,0.01817,0.94255,0.85702,0.9205,0.64271,0.89342,0.59931,0.02287,0.00302,0.00302,0.00302
22,1080.33,0.78542,0.34952,0.01851,0.89428,0.8607,0.90132,0.62334,0.92465,0.64798,0.02368,0.002921,0.002921,0.002921
23,1127.4,0.78143,0.35237,0.01821,0.90734,0.85257,0.90926,0.63798,0.9157,0.61695,0.02364,0.002822,0.002822,0.002822
24,1174.45,0.73127,0.30619,0.0172,0.93815,0.85821,0.91476,0.64047,0.93113,0.63811,0.02374,0.002723,0.002723,0.002723
25,1221.75,0.71102,0.29469,0.0165,0.93572,0.85572,0.91397,0.64442,0.86136,0.6237,0.02184,0.002624,0.002624,0.002624
26,1268.72,0.70293,0.29003,0.01588,0.93175,0.87313,0.91819,0.63969,0.8536,0.58551,0.0215,0.002525,0.002525,0.002525
27,1315.39,0.67983,0.27155,0.01568,0.92821,0.87313,0.91599,0.65163,0.88203,0.66175,0.0226,0.002426,0.002426,0.002426
28,1362.05,0.65761,0.28005,0.01479,0.91028,0.88332,0.92755,0.65966,0.85869,0.59185,0.02173,0.002327,0.002327,0.002327
29,1409.07,0.62987,0.25859,0.0144,0.92135,0.90332,0.92258,0.67647,0.85087,0.58016,0.02121,0.002228,0.002228,0.002228
