epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,296.168,1.41939,12.9971,2.11531,0.78447,0.68905,0.74573,0.43389,1.20091,1.12007,1.85354,0.00166407,0.00166407,0.0683827
2,558.754,1.16525,1.27831,1.84318,0.73541,0.71642,0.75368,0.50731,1.00985,0.97506,1.61864,0.00326478,0.00326478,0.0366501
3,800.453,1.19893,1.25004,1.87929,0.68361,0.55899,0.6153,0.35421,1.27337,1.33663,1.97454,0.0047995,0.0047995,0.0048515
4,1049.17,1.24106,1.2486,1.91249,0.68643,0.57177,0.63526,0.39014,1.22007,1.30587,1.89966,0.004703,0.004703,0.004703
5,1304.69,1.22779,1.22845,1.9231,0.70957,0.67413,0.6984,0.41813,1.21906,1.08301,1.84517,0.004604,0.004604,0.004604
6,1549.55,1.17292,1.09611,1.86163,0.69626,0.67856,0.71248,0.44016,1.2705,1.10044,1.91286,0.004505,0.004505,0.004505
7,1796.82,1.11017,0.99535,1.79638,0.73614,0.74627,0.79886,0.50645,1.11898,0.87738,1.80033,0.004406,0.004406,0.004406
8,2035,1.04146,0.91764,1.72354,0.77156,0.78138,0.82236,0.54069,0.99847,0.8454,1.69821,0.004307,0.004307,0.004307
9,2283.79,0.99407,0.83554,1.65856,0.80953,0.75124,0.83089,0.54778,0.99927,0.86236,1.65345,0.004208,0.004208,0.004208
10,2531.44,1.00054,0.79089,1.67154,0.8763,0.71642,0.84218,0.5509,0.98816,0.79421,1.61713,0.004109,0.004109,0.004109
11,2771.71,0.95398,0.76939,1.59848,0.79208,0.73914,0.79661,0.52788,1.0408,0.87711,1.61751,0.00401,0.00401,0.00401
12,3020.12,0.93804,0.71704,1.6037,0.84714,0.79353,0.85594,0.59228,0.92116,0.77764,1.51689,0.003911,0.003911,0.003911
13,3262.4,0.8956,0.61678,1.54108,0.83393,0.79944,0.85826,0.59585,0.92019,0.71282,1.56894,0.003812,0.003812,0.003812
14,3508.86,0.87418,0.64765,1.51207,0.78527,0.82785,0.86276,0.60174,0.88094,0.76037,1.50619,0.003713,0.003713,0.003713
15,3759.42,0.84727,0.59626,1.4875,0.86076,0.75373,0.83346,0.58693,0.92975,0.80139,1.53915,0.003614,0.003614,0.003614
16,3994.57,0.82694,0.56339,1.47002,0.85211,0.79353,0.86659,0.59837,0.86976,0.68491,1.4933,0.003515,0.003515,0.003515
17,4246.32,0.79814,0.48201,1.44255,0.88178,0.8164,0.89326,0.62419,0.92292,0.63155,1.56644,0.003416,0.003416,0.003416
18,4494.26,0.76458,0.48158,1.40024,0.83381,0.79877,0.85572,0.60464,0.87133,0.7219,1.49439,0.003317,0.003317,0.003317
19,4750.01,0.72484,0.42136,1.346,0.89388,0.81592,0.89658,0.64898,0.85435,0.63112,1.46822,0.003218,0.003218,0.003218
20,4984.41,0.70153,0.40693,1.32764,0.86244,0.83831,0.90272,0.64893,0.85454,0.63485,1.4888,0.003119,0.003119,0.003119
21,5234.68,0.67397,0.39215,1.29959,0.90256,0.86318,0.91792,0.65631,0.84873,0.53095,1.47651,0.00302,0.00302,0.00302
22,5482.29,0.65401,0.38702,1.28206,0.90931,0.84801,0.90427,0.66488,0.80808,0.58993,1.43038,0.002921,0.002921,0.002921
23,5729.79,0.6539,0.3824,1.25646,0.89251,0.8262,0.90944,0.64701,0.88146,0.64902,1.51831,0.002822,0.002822,0.002822
24,5974.12,0.59022,0.33442,1.18963,0.92288,0.8607,0.92793,0.66984,0.87477,0.55276,1.48667,0.002723,0.002723,0.002723
25,6224.74,0.60854,0.34663,1.22508,0.87872,0.88317,0.92092,0.66558,0.88161,0.53728,1.50477,0.002624,0.002624,0.002624
26,6482.67,0.57569,0.31214,1.17142,0.94398,0.85075,0.91672,0.67725,0.83021,0.54944,1.42293,0.002525,0.002525,0.002525
27,6741.35,0.55079,0.28372,1.14526,0.89961,0.86816,0.91903,0.68365,0.82852,0.60295,1.47641,0.002426,0.002426,0.002426
28,6981.67,0.5158,0.29643,1.1077,0.88134,0.85572,0.90662,0.6588,0.81682,0.64005,1.45991,0.002327,0.002327,0.002327
29,7239.92,0.49234,0.2757,1.08345,0.92726,0.85619,0.9099,0.66349,0.83757,0.63462,1.47006,0.002228,0.002228,0.002228
30,7484.05,0.50996,0.26694,1.09957,0.94426,0.84273,0.91423,0.67523,0.83676,0.61147,1.44568,0.002129,0.002129,0.002129
31,7743.71,0.48622,0.23046,1.07475,0.93957,0.87313,0.91668,0.68553,0.82649,0.61999,1.43938,0.00203,0.00203,0.00203
32,7988.95,0.46605,0.22635,1.05704,0.90272,0.87719,0.90883,0.67924,0.81825,0.63815,1.47809,0.001931,0.001931,0.001931
