epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.1646,2.05506,16.2102,2.70365,0.7766,0.63682,0.72916,0.3955,1.27478,1.35751,1.88885,0.00166407,0.00166407,0.0683827
2,92.6784,1.3441,1.42316,2.00788,0.87872,0.72093,0.81436,0.48431,1.16603,1.09339,1.78833,0.00326478,0.00326478,0.0366501
3,137.902,1.29667,1.24859,1.97231,0.87492,0.78303,0.85426,0.50043,1.18061,1.02873,1.81401,0.0047995,0.0047995,0.0048515
4,184.033,1.21505,1.17036,1.87696,0.89341,0.72975,0.83417,0.49517,1.19529,1.05338,1.85678,0.004703,0.004703,0.004703
5,229.905,1.18063,1.09648,1.83103,0.86575,0.78608,0.86341,0.54523,1.12636,0.95596,1.77699,0.004604,0.004604,0.004604
6,280.38,1.10314,0.98412,1.76345,0.88156,0.72886,0.82468,0.5133,1.127,1.0111,1.74394,0.004505,0.004505,0.004505
7,326.164,1.07273,0.93717,1.73192,0.86302,0.76119,0.84921,0.49449,1.19384,1.05274,1.79777,0.004406,0.004406,0.004406
8,380.305,1.0231,0.83407,1.67059,0.90215,0.84858,0.89484,0.58527,1.00262,0.78354,1.65492,0.004307,0.004307,0.004307
9,425.485,0.95577,0.76559,1.59926,0.9159,0.81592,0.88287,0.57881,0.99794,0.83453,1.58798,0.004208,0.004208,0.004208
10,473.121,0.95069,0.73444,1.60957,0.91901,0.8408,0.89336,0.58943,0.9878,0.77702,1.63733,0.004109,0.004109,0.004109
11,521.733,0.88907,0.67884,1.50821,0.92313,0.82587,0.88343,0.56966,1.03307,0.80275,1.67101,0.00401,0.00401,0.00401
12,568.601,0.85858,0.61271,1.50632,0.92318,0.84577,0.90201,0.61152,0.92801,0.8433,1.51608,0.003911,0.003911,0.003911
13,614.506,0.81338,0.58454,1.43531,0.91631,0.81841,0.89595,0.61144,0.92656,0.80642,1.53062,0.003812,0.003812,0.003812
